DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Kansas. December 09, 1933 138 Kan. 624 27 P.2d 265
Extracted from page: 58
","McCarry v. Center Tp., No. 31337, 138 Kan. 624, 27 P.2d 265 (Kan. Dec. 09, 1933)
","Dec. 09, 1933",Kansas,Abrogated by," 1.  Eli v. Board of County Comr’s of Sedgwick County 
681 P.2d 673 , 235 Kan. 684 , Kan. , (NO. 55979 )
","June 08, 1984"
"Supreme Court of Kansas. March 03, 1989 244 Kan. 474 770 P.2d 825
Extracted from page: 2
","Tomlinson v. Celotex Corp., No. 62,113, 244 Kan. 474, 770 P.2d 825, 57 USLW 2564, Prod. Liab. Rep. (CCH) P 12096, 1989 WL 18550 (Kan. Mar. 03, 1989)
","Mar. 03, 1989",Kansas,Overruled by," 1.  Gilger v. Lee Const., Inc.  
820 P.2d 390 , 249 Kan. 307 , Kan. , (NO. 64,511 )
","Oct. 02, 1991"
"Supreme Court of Kansas. March 03, 1989 244 Kan. 370 769 P.2d 1157
Extracted from page: 4
","State v. Eaton, No. 60,991, 244 Kan. 370, 769 P.2d 1157, 1989 WL 18540 (Kan. Mar. 03, 1989)
","Mar. 03, 1989",Kansas,Overruled by," 1.  State v. Boyd 
127 P.3d 998 , 281 Kan. 70 , Kan. , (NO. 91980 )
","Feb. 10, 2006"
"Supreme Court of Kansas. March 03, 1989 244 Kan. 370 769 P.2d 1157
Extracted from page: 4
","State v. Eaton, No. 60,991, 244 Kan. 370, 769 P.2d 1157, 1989 WL 18540 (Kan. Mar. 03, 1989)
","Mar. 03, 1989",Kansas,Abrogated by," 2.  State v. Chisholm
825 P.2d 147 , 250 Kan. 153 , Kan. , (NO. 66,123 )
","Jan. 17, 1992"
"Supreme Court of Kansas. January 30, 2009 288 Kan. 76 201 P.3d 673
Extracted from page: 9
","State v. Gant, No. 98,026, 288 Kan. 76, 201 P.3d 673, 2009 WL 212970 (Kan. Jan. 30, 2009)
","Jan. 30, 2009",Kansas,Abrogated by," 1.  State v. Sampson  
301 P.3d 276 , 297 Kan. 288 , Kan. , (NO. 102,535 )
","May 03, 2013"
"Supreme Court of Kansas. July 24, 2009 289 Kan. 351 212 P.3d 215
Extracted from page: 14
","State v. Gonzales, No. 99,657, 289 Kan. 351, 212 P.3d 215, 2009 WL 2192638 (Kan. July 24, 2009)
","July 24, 2009",Kansas,Overruled by," 1.  State v. Dunn  
375 P.3d 332 , 304 Kan. 773 , Kan. , (NO. 106,586 , 106,587 )
","July 15, 2016"
"Supreme Court of Kansas. February 10, 2006 281 Kan. 2 128 P.3d 382
Extracted from page: 21
","State v. Ackward, No. 91755, 281 Kan. 2, 128 P.3d 382, 2006 WL 305278 (Kan. Feb. 10, 2006)
","Feb. 10, 2006",Kansas,Abrogated by," 1.  State v. Milo  
510 P.3d 1 , 315 Kan. 434 , Kan. , (NO. 120,726 )
","May 20, 2022"
"Supreme Court of Kansas. October 27, 2006 282 Kan. 323 144 P.3d 729
Extracted from page: 23
","State v. Snow, No. 93,749, 282 Kan. 323, 144 P.3d 729, 2006 WL 3040310 (Kan. Oct. 27, 2006)
","Oct. 27, 2006",Kansas,Abrogated by," 2.  State v. Jenkins
455 P.3d 779 , 311 Kan. 39 , Kan. , (NO. 118,120 )
","Jan. 10, 2020"
"Supreme Court of Kansas. March 17, 2006 281 Kan. 169 130 P.3d 69
Extracted from page: 23
","State v. Davis, No. 90982, 281 Kan. 169, 130 P.3d 69, 2006 WL 658737 (Kan. Mar. 17, 2006)
","Mar. 17, 2006",Kansas,Overruled by," 1.  State v. Ford  
353 P.3d 1143 , 302 Kan. 455 , Kan. , (NO. 109,806 )
","July 31, 2015"
"Supreme Court of Kansas. January 27, 2017 305 Kan. 773 388 P.3d 93
Extracted from page: 25
","State v. Beltz, No. 111,785, 305 Kan. 773, 388 P.3d 93, 2017 WL 383853 (Kan. Jan. 27, 2017)
","Jan. 27, 2017",Kansas,Abrogated by," 1.  State v. Milo 
510 P.3d 1 , 315 Kan. 434 , Kan. , (NO. 120,726 )
","May 20, 2022"
"Supreme Court of Kansas. July 20, 2017 306 Kan. 760 402 P.3d 1126
Extracted from page: 27
","State v. Cheever, No. 99,988, 306 Kan. 760, 402 P.3d 1126, 2017 WL 4466104 (Kan. July 20, 2017)
","July 20, 2017",Kansas,Abrogated by," 1.  State v. Boothby 
448 P.3d 416 , 310 Kan. 619 , Kan. , (NO. 116,505 )
","Sep. 06, 2019"
"Supreme Court of Kansas. July 20, 2017 306 Kan. 760 402 P.3d 1126
Extracted from page: 27
","State v. Cheever, No. 99,988, 306 Kan. 760, 402 P.3d 1126, 2017 WL 4466104 (Kan. July 20, 2017)
","July 20, 2017",Kansas,Abrogated by," 2.  State v. Carr  
502 P.3d 546 , 314 Kan. 615 , Kan. , (NO. 90,044 )
","Jan. 21, 2022"
"Supreme Court of Kansas. January 01, 1873 11 Kan. 308 1873 WL 648
Extracted from page: 28
","Russell v. State ex rel. Nicholson, 11 Kan. 308, 1873 WL 648 (Kan. 1873)
","June 15, 1873",Kansas,Overruled by," 1.  Shellabarger v. Nafus 
15 Kan. 547 , 1875 WL 841 , Kan.
","July 01, 1875"
"Supreme Court of Kansas. October 31, 2003 276 Kan. 578 77 P.3d 1272
Extracted from page: 29
","State v. Goeller, No. 88,537, 276 Kan. 578, 77 P.3d 1272, 2003 WL 22461536 (Kan. Oct. 31, 2003)
","Oct. 31, 2003",Kansas,Overruled by," 1.  State v. Dickey  
350 P.3d 1054 , 301 Kan. 1018 , Kan. , (NO. 110,245 )
","May 22, 2015"
